"prompt_id","source_file","source_group","module_key","task_type","activity_type","prompt_text","expected_text","accepted_answers","difficulty","points","is_active","is_mastery_item","expected_phonemes","initial_phoneme","vowel_phonemes","final_phoneme","phoneme_pattern","skill_tag","error_focus","metadata","item_text_type","phoneme_count","syllable_estimate","has_cmudict_match","cmudict_missing_words","skill_group","target_position","target_phoneme","target_grapheme","word_family","rime_unit","onset_unit","enrichment_warnings","needs_manual_review","difficulty_score","difficulty_level","difficulty_factors","adaptive_bucket","recommended_for_error_type","remediation_priority","practice_role","mastery_candidate","review_candidate","min_required_attempts","cooldown_group","enrichment_status","word_count","sentence_length_bucket"
"T2B-W001","task2b_word_in_sentence.csv","assessment","","word_sentence","","I see a cat.","cat","cat","easy","1.0","True","","K AE T","K","AE","T","CVC","CVC_short_a","vowel_sound","{""accepted_answers"":""cat"",""points"":1,""sentence_text"":""I see a cat."",""sequence"":1,""expected_answer"":""cat"",""difficulty"":""easy"",""is_active"":1,""id"":""T2B-W001"",""target_word"":""cat"",""content_type"":""word_sentence""}","single_word","3","1","True","","word_reading","medial","AE","a","at_family","at","c","","False","0.196","very_easy","{'word_length': 0.3, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","vowel_sound_very_easy","vowel_error","high","assessment","False","True","3","vowel_sound:AE","ok","",""
"T2B-W002","task2b_word_in_sentence.csv","assessment","","word_sentence","","The dog can run.","dog","dog","easy","1.0","True","","D AO G","D","AO","G","CVC","CVC_vowel","vowel_sound","{""accepted_answers"":""dog"",""points"":1,""sentence_text"":""The dog can run."",""sequence"":2,""expected_answer"":""dog"",""difficulty"":""easy"",""is_active"":1,""id"":""T2B-W002"",""target_word"":""dog"",""content_type"":""word_sentence""}","single_word","3","1","True","","word_reading","medial","AO","o","og_family","og","d","","False","0.196","very_easy","{'word_length': 0.3, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","vowel_sound_very_easy","vowel_error","high","assessment","False","True","3","vowel_sound:AO","ok","",""
"T2B-W003","task2b_word_in_sentence.csv","assessment","","word_sentence","","We sit in the sun.","sun","sun","easy","1.0","True","","S AH N","S","AH","N","CVC","CVC_short_u","vowel_sound","{""accepted_answers"":""sun"",""points"":1,""sentence_text"":""We sit in the sun."",""sequence"":3,""expected_answer"":""sun"",""difficulty"":""easy"",""is_active"":1,""id"":""T2B-W003"",""target_word"":""sun"",""content_type"":""word_sentence""}","single_word","3","1","True","","word_reading","medial","AH","u","un_family","un","s","","False","0.196","very_easy","{'word_length': 0.3, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","vowel_sound_very_easy","vowel_error","high","assessment","False","True","3","vowel_sound:AH","ok","",""
"T2B-W004","task2b_word_in_sentence.csv","assessment","","word_sentence","","My hat is red.","hat","hat","easy","1.0","True","","HH AE T","HH","AE","T","CVC","CVC_short_a","vowel_sound","{""accepted_answers"":""hat"",""points"":1,""sentence_text"":""My hat is red."",""sequence"":4,""expected_answer"":""hat"",""difficulty"":""easy"",""is_active"":1,""id"":""T2B-W004"",""target_word"":""hat"",""content_type"":""word_sentence""}","single_word","3","1","True","","word_reading","medial","AE","a","at_family","at","h","","False","0.196","very_easy","{'word_length': 0.3, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","vowel_sound_very_easy","vowel_error","high","assessment","False","True","3","vowel_sound:AE","ok","",""
"T2B-W005","task2b_word_in_sentence.csv","assessment","","word_sentence","","I have a pen.","pen","pen","easy","1.0","True","","P EH N","P","EH","N","CVC","CVC_short_e","vowel_sound","{""accepted_answers"":""pen"",""points"":1,""sentence_text"":""I have a pen."",""sequence"":5,""expected_answer"":""pen"",""difficulty"":""easy"",""is_active"":1,""id"":""T2B-W005"",""target_word"":""pen"",""content_type"":""word_sentence""}","single_word","3","1","True","","word_reading","medial","EH","e","en_family","en","p","","False","0.196","very_easy","{'word_length': 0.3, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","vowel_sound_very_easy","vowel_error","high","assessment","False","True","3","vowel_sound:EH","ok","",""
"T2B-W006","task2b_word_in_sentence.csv","assessment","","word_sentence","","The cup is big.","cup","cup","easy","1.0","True","","B AH G","B","AH","G","CVC","CVC_short_u","vowel_sound","{""accepted_answers"":""cup"",""points"":1,""sentence_text"":""The cup is big."",""sequence"":6,""expected_answer"":""cup"",""difficulty"":""easy"",""is_active"":1,""id"":""T2B-W006"",""target_word"":""cup"",""content_type"":""word_sentence""}","single_word","3","1","True","","word_reading","medial","AH","u","ug_family","ug","b","","False","0.196","very_easy","{'word_length': 0.3, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","vowel_sound_very_easy","vowel_error","high","assessment","False","True","3","vowel_sound:AH","ok","",""
"T2B-W007","task2b_word_in_sentence.csv","assessment","","word_sentence","","A bug can run.","bug","bug","easy","1.0","True","","K AH P","K","AH","P","CVC","CVC_short_u","vowel_sound","{""accepted_answers"":""bug"",""points"":1,""sentence_text"":""A bug can run."",""sequence"":7,""expected_answer"":""bug"",""difficulty"":""easy"",""is_active"":1,""id"":""T2B-W007"",""target_word"":""bug"",""content_type"":""word_sentence""}","single_word","3","1","True","","word_reading","medial","AH","u","up_family","up","c","","False","0.196","very_easy","{'word_length': 0.3, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","vowel_sound_very_easy","vowel_error","high","assessment","False","True","3","vowel_sound:AH","ok","",""
"T2B-W008","task2b_word_in_sentence.csv","assessment","","word_sentence","","The bed is soft.","bed","bed","easy","1.0","True","","R EH D","R","EH","D","CVC","CVC_short_e","vowel_sound","{""accepted_answers"":""bed"",""points"":1,""sentence_text"":""The bed is soft."",""sequence"":8,""expected_answer"":""bed"",""difficulty"":""easy"",""is_active"":1,""id"":""T2B-W008"",""target_word"":""bed"",""content_type"":""word_sentence""}","single_word","3","1","True","","word_reading","medial","EH","e","ed_family","ed","r","","False","0.196","very_easy","{'word_length': 0.3, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","vowel_sound_very_easy","vowel_error","high","assessment","False","True","3","vowel_sound:EH","ok","",""
"T2B-W009","task2b_word_in_sentence.csv","assessment","","word_sentence","","Ben can hop.","hop","hop","easy","1.0","True","","B AA K S","B","AA","S","CVCC","ox_family","final_consonant","{""accepted_answers"":""hop"",""points"":1,""sentence_text"":""Ben can hop."",""sequence"":9,""expected_answer"":""hop"",""difficulty"":""easy"",""is_active"":1,""id"":""T2B-W009"",""target_word"":""hop"",""content_type"":""word_sentence""}","single_word","4","1","True","","word_reading","final","S","x","ox_family","ox","b","","False","0.25","easy","{'word_length': 0.3, 'phoneme_count': 0.5, 'syllables': 0.25, 'blend_or_digraph': 0.2, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","final_consonant_easy","final_sound_error","high","assessment","False","True","3","final_consonant:S","ok","",""
"T2B-W010","task2b_word_in_sentence.csv","assessment","","word_sentence","","Sam can tap.","tap","tap","easy","1.0","True","","F IH SH","F","IH","SH","CVC","CVC_short_i","vowel_sound","{""accepted_answers"":""tap"",""points"":1,""sentence_text"":""Sam can tap."",""sequence"":10,""expected_answer"":""tap"",""difficulty"":""easy"",""is_active"":1,""id"":""T2B-W010"",""target_word"":""tap"",""content_type"":""word_sentence""}","single_word","3","1","True","","word_reading","medial","IH","i","sh_family","ish","f","","False","0.246","easy","{'word_length': 0.4, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.2, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","vowel_sound_easy","vowel_error","high","assessment","False","True","3","vowel_sound:IH","ok","",""
"T2B-W011","task2b_word_in_sentence.csv","assessment","","word_sentence","","I kick the ball.","ball","ball","easy","1.0","False","","B AO L","B","AO","L","CVC","CVC_vowel","vowel_sound","{""is_active"":0}","single_word","3","1","True","","word_reading","medial","AO","a","ll_family","all","b","","False","0.212","easy","{'word_length': 0.4, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","vowel_sound_easy","vowel_error","high","assessment","False","True","3","vowel_sound:AO","ok","",""
"T2B-W012","task2b_word_in_sentence.csv","assessment","","word_sentence","","The bed is soft.","bed","bed","easy","1.0","False","","B EH D","B","EH","D","CVC","CVC_short_e","vowel_sound","{""is_active"":0}","single_word","3","1","True","","word_reading","medial","EH","e","ed_family","ed","b","","False","0.196","very_easy","{'word_length': 0.3, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","vowel_sound_very_easy","vowel_error","high","assessment","False","True","3","vowel_sound:EH","ok","",""
"T2B-W013","task2b_word_in_sentence.csv","assessment","","word_sentence","","The moon is bright.","moon","moon","easy","1.0","False","","M UW N","M","UW","N","CVC","CVC_vowel","vowel_sound","{""is_active"":0}","single_word","3","1","True","","word_reading","medial","UW","o","on_family","oon","m","","False","0.212","easy","{'word_length': 0.4, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","vowel_sound_easy","vowel_error","high","assessment","False","True","3","vowel_sound:UW","ok","",""
"T2B-W014","task2b_word_in_sentence.csv","assessment","","word_sentence","","A bird sits in the tree.","tree","tree","easy","1.0","False","","T R IY","T","IY","IY","CCV","ee_family","initial_consonant","{""is_active"":0}","single_word","3","1","True","","word_reading","initial","T","t","ee_family","ee","tr","","False","0.246","easy","{'word_length': 0.4, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.2, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","initial_consonant_easy","initial_sound_error","high","assessment","False","True","3","initial_consonant:T","ok","",""
"T2B-W015","task2b_word_in_sentence.csv","assessment","","word_sentence","","Read the book with me.","book","book","easy","1.0","False","","B UH K","B","UH","K","CVC","CVC_vowel","vowel_sound","{""is_active"":0}","single_word","3","1","True","","word_reading","medial","UH","o","ok_family","ook","b","","False","0.212","easy","{'word_length': 0.4, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","vowel_sound_easy","vowel_error","high","assessment","False","True","3","vowel_sound:UH","ok","",""
"T2B-W016","task2b_word_in_sentence.csv","assessment","","word_sentence","","Dad drives the car.","car","car","easy","1.0","False","","K AA R","K","AA","R","CVC","CVC_short_o","vowel_sound","{""is_active"":0}","single_word","3","1","True","","word_reading","medial","AA","a","ar_family","ar","c","","False","0.196","very_easy","{'word_length': 0.3, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","vowel_sound_very_easy","vowel_error","high","assessment","False","True","3","vowel_sound:AA","ok","",""
"T2B-W017","task2b_word_in_sentence.csv","assessment","","word_sentence","","Wash your hand.","hand","hand","easy","1.0","False","","HH AE N D","HH","AE","D","CVCC","nd_family","final_consonant","{""is_active"":0}","single_word","4","1","True","","word_reading","final","D","d","nd_family","and","h","","False","0.267","easy","{'word_length': 0.4, 'phoneme_count': 0.5, 'syllables': 0.25, 'blend_or_digraph': 0.2, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","final_consonant_easy","final_sound_error","high","assessment","False","True","3","final_consonant:D","ok","",""
"T2B-W018","task2b_word_in_sentence.csv","assessment","","word_sentence","","The rock is gray.","rock","rock","easy","1.0","False","","R AA K","R","AA","K","CVC","CVC_short_o","vowel_sound","{""is_active"":0}","single_word","3","1","True","","word_reading","medial","AA","o","ck_family","ock","r","","False","0.212","easy","{'word_length': 0.4, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","vowel_sound_easy","vowel_error","high","assessment","False","True","3","vowel_sound:AA","ok","",""
"T2B-W019","task2b_word_in_sentence.csv","assessment","","word_sentence","","A bee is on the flower.","bee","bee","easy","1.0","False","","B IY","B","IY","IY","CV","ee_family","initial_consonant","{""is_active"":0}","single_word","2","1","True","","word_reading","initial","B","b","ee_family","ee","b","","False","0.175","very_easy","{'word_length': 0.3, 'phoneme_count': 0.25, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","initial_consonant_very_easy","initial_sound_error","high","assessment","False","True","3","initial_consonant:B","ok","",""
"T2B-W020","task2b_word_in_sentence.csv","assessment","","word_sentence","","The duck is in the pond.","duck","duck","easy","1.0","False","","D AH K","D","AH","K","CVC","CVC_short_u","vowel_sound","{""is_active"":0}","single_word","3","1","True","","word_reading","medial","AH","u","ck_family","uck","d","","False","0.212","easy","{'word_length': 0.4, 'phoneme_count': 0.375, 'syllables': 0.25, 'blend_or_digraph': 0.0, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","vowel_sound_easy","vowel_error","high","assessment","False","True","3","vowel_sound:AH","ok","",""
